fund_account,phone_number,password,name,id_number,risk_level
469319644,1948245888,password0,姓名34,150094947228972415,4
675770529,1434031070,password1,姓名49,736459517326671848,3
990566476,1974996843,password2,姓名80,765641708193848560,2
856528252,1374684276,password3,姓名6,362748819060985241,3
185675980,1549957310,password4,姓名13,420481746771506135,4
782560971,1691735568,password5,姓名21,509599234334273032,2
819595113,1586665249,password6,姓名90,888076805772318793,1
754049436,1981802744,password7,姓名22,940625969428259847,2
275452091,1796348124,password8,姓名49,837869484142260130,5
335809993,1648195935,password9,姓名99,164492064018525753,2
